																																		Class	Bs	Bs	Bs	Mo	Mo	Mo	NA	NA	NA	NA
																																		File type	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA
																																		Injection order	1	2	3	4	5	6	NA	NA	NA	NA
																																		Batch ID	1	1	1	1	1	1	Average	Average	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	E_neg_Bs_1_1rep	E_neg_Bs_2_1rep	E_neg_Bs_3_1rep	E_neg_mock_1_1	E_neg_mock_2_1	E_neg_mock_3_1	Bs	Mo	Bs	Mo
0	18.901	78.95879	Unknown	[M-H]-	null	0.17	False	null	null	null	null	null	null	999	False	False	False	Normalized unit: Intensity	False	False	0	0	0.00	null	null	null	null	null	null	null	48.87	E_neg_mock_1_1	78.95879:2612 79.96346:281 80.96813:0	null	4183	4448	4198	2999	3556	3845	4276.10416666667	3466.91666666667	148.84669038841	430.076648025771
1	8.715	105.07036	Unknown	[M-H]-	null	1.00	True	null	null	null	null	null	null	999	False	False	False	Normalized unit: Intensity	False	False	1	0	0.00	null	null	null	null	null	null	null	328.69	E_neg_Bs_2_1rep	105.07036:4522 106.07503:348 107.07969:28	105.07114:12	2331	2381	2182	1926	1737	2143	2298.08333333333	1935.22916666667	103.382752379608	202.860311518994
2	8.571	115.04261	low score: 2-Oxovaleric acid	[M-H]-	null	0.50	True	-1.000	115.04007	C5H8O3	Short-chain keto acids and derivatives	KDVFRMMRZOCFLS-UHFFFAOYSA-N	CCCC(=O)C(O)=O	530	False	True	False	Normalized unit: Intensity; Annotation method: MSMS-Public_experimentspectra-neg-VS19_1	False	False	2	0	0.00	0.97	0.40	0.32	0.75	1.00	1.00	1.27	225.07	E_neg_Bs_1_1rep	115.04240:2129 116.04706:150 117.05173:0	81.93581:70 88.03505:17 90.09367:17 95.29745:17 97.92984:156 114.03490:303 114.04374:52 114.93481:24 115.04292:446	1189	1355	1409	6	2	4	1317.625	4.16666666666667	114.286868367499	2.08166599946613
3	6.166	116.05065	low score: Glycocyamine	[M-H]-	null	0.50	True	-1.000	116.04655	C3H7N3O2	Alpha amino acids and derivatives	BPMFZUMJYQTVII-UHFFFAOYSA-N	NC(=N)NCC(O)=O	530	False	True	False	Normalized unit: Intensity; Annotation method: MSMS-Public_experimentspectra-neg-VS19_1	False	False	3	0	0.00	0.94	0.08	0.75	0.10	3.00	0.67	1.03	1283.13	E_neg_Bs_2_1rep	116.05014:22902 117.05481:1936 118.05948:126	65.03359:2 65.15806:2 65.20512:2 65.39919:4 65.56114:2 65.96108:2 66.16648:2 66.50474:2 77.63388:4 78.42283:2 78.50135:2 79.07170:2 79.11525:2 79.22245:2 79.23684:2 79.83085:2 80.13351:2 80.16026:2 80.61122:2 80.62177:2 80.64102:3 80.93474:2 81.00853:2 81.35253:2 81.52004:2 81.59655:2 81.63239:2 81.79620:2 81.85689:2 82.00042:3 82.19267:2 82.22819:2 82.28905:2 82.35970:2 82.43128:2 82.52157:2 82.59856:2 82.64352:2 82.71566:2 82.76778:2 82.77154:2 82.80655:2 82.82527:2 82.89446:4 82.91176:2 83.02129:4 83.11301:2 83.12060:2 83.16928:2 83.19072:2 83.21708:2 83.32121:2 83.33104:2 83.39946:2 83.51221:2 83.56503:2 83.62627:3 83.69402:2 83.78429:4 84.02950:2 84.08682:3 84.27075:2 84.28065:2 84.39298:3 84.53397:2 86.09463:2 86.14189:2 86.55740:2 86.57016:2 86.73337:2 86.90678:2 87.09819:2 87.17180:2 87.41844:2 87.42668:2 87.44775:2 87.57311:4 87.60812:2 87.61270:2 87.84986:2 87.99452:2 88.64903:2 88.73251:2 88.76342:2 88.97627:2 89.04650:2 89.06221:2 89.19029:2 89.72206:2 89.81348:2 90.03408:3 90.08056:2 90.21820:2 90.31266:2 90.37271:2 90.84356:2 90.95283:2 91.48701:2 91.55307:2 91.82085:2 92.68734:2 93.05642:2 93.50200:2 94.34259:2 94.67859:5 94.82080:2 95.92726:4 96.03937:2 96.21356:3 96.37323:2 96.46220:2 96.70093:2 96.79390:2 97.98238:2 98.23415:2 98.59125:2 98.70216:2 98.91361:4 99.29081:2 99.92553:5 100.16922:2 100.39139:2 100.59956:2 100.73863:2 101.22586:2 101.24804:2 101.71032:2 102.05191:2 102.43373:2 102.53437:2 102.89672:2 102.97871:2 102.99610:2 103.11592:2 104.31447:2 104.32235:3 104.33648:2 104.50464:2 104.70450:2 105.31880:2 105.99842:2 106.34561:2 106.52837:5 106.72829:2 107.11215:2 107.76041:2 109.33404:2 109.35708:2 109.70152:2 111.89764:2 112.86021:2 113.37745:2 113.49991:3 114.03272:5 114.14063:2 114.22907:2 114.67653:2 115.04366:8 115.66739:4 115.67443:10 115.92786:2 116.03201:7 116.05051:5165 116.41033:2 116.44762:2 116.49096:2 116.49946:5 116.51634:2 116.55863:2 116.57926:2 116.59353:2 116.65859:2 116.74800:2 116.75594:2 116.80569:2 116.82263:2 116.84010:2 116.91582:2 116.92800:2 116.98361:2 116.99810:4 117.05321:2 117.32765:2 117.61217:2 117.70248:2 117.74392:2 117.97468:2 118.04254:2 118.19555:2 118.33509:2 118.88092:4 119.24788:2 119.40516:2 119.96775:2 120.02409:2 120.17866:2 120.33818:2	12486	13436	15915	52	42	28	13945.7291666667	40.75	1770.19913729419	11.6493360862326
4	17.852	116.92756	Unknown	[M-H]-	null	0.17	False	null	null	null	null	null	null	999	False	False	False	Normalized unit: Intensity	False	False	4	0	0.00	null	null	null	null	null	null	null	119.45	E_neg_Bs_2_1rep	116.92756:3481 117.93223:0 118.93689:627	null	1432	2098	1774	991	1209	1302	1768.125	1167.4375	333.127034468459	159.660198253196
5	18.810	116.92757	Unknown	[M-H]-	null	0.17	False	null	null	null	null	null	null	999	False	False	False	Normalized unit: Intensity	False	False	5	0	0.00	null	null	null	null	null	null	null	126.92	E_neg_mock_2_1	116.92757:3326 117.93223:0 118.93690:0	null	2253	2382	2494	1560	2668	2146	2376.39583333333	2124.70833333333	120.512939096113	554.685177225184
