id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	just names	NPC#superclass Probability	names with comma	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
2_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_1	C8H7N	[M - H]-	C8H7N	Alkaloids	0.8870120048522949	Tryptophan alkaloids	0.8561896681785583		0.9452337026596069	Indoles	0.9903693795204163			Indoles	0.9903693795204163	Indoles and derivatives	0.9966350197792053	Organoheterocyclic compounds	0.9999942779541016	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	13
3_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_2	C7H6O2	[M - H]-	C7H6O2	Shikimates and Phenylpropanoids	0.9089521169662476	Phenolic acids (C6-C1)	0.7763683199882507		0.8138447403907776	Hydroxybenzaldehydes	0.9279708862304688	Aldehydes	0.9308148622512817	Carbonyl compounds	0.9329900741577148	Organooxygen compounds	0.999996543	Organic oxygen compounds	0.9999943971633911	Organic compounds; Aldehydes; Phenols; Benzoyl derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Organic oxides; Hydroxybenzaldehydes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	25
6_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_5	C6H5NO3	[M - H]-	C6H5NO3	Shikimates and Phenylpropanoids	0.6992096900939941	Small peptides	0.25746241211891174		0.20999015867710114	Nitrophenols	0.6138470768928528			Nitrophenols	0.6138470768928528	Phenols	0.7342114448547363	Benzenoids	0.9993340373039246	"Organic compounds; Nitrobenzenes; Phenols; Nitrophenols; Organonitrogen compounds; Organooxygen compounds; Organic nitro compounds; Organic oxoazanium compounds; Benzene and substituted derivatives; Benzenoids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	31
9_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_8	C9H7NO	[M - H]-	C9H7NO	Alkaloids	0.8406887650489807	Anthranilic acid alkaloids	0.643972635		0.5645411014556885	8-hydroxyquinolines	0.5277678966522217			8-hydroxyquinolines	0.5277678966522217	Quinolines and derivatives	0.8031120300292969	Organoheterocyclic compounds	0.9993636012077332	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	34
10_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_9	C9H7NO	[M - H]-	C9H7NO	Alkaloids	0.8518166542053223	Anthranilic acid alkaloids	0.6268395185470581		0.6034289002418518	8-hydroxyquinolines	0.6585221886634827			8-hydroxyquinolines	0.6585221886634827	Quinolines and derivatives	0.8772664666175842	Organoheterocyclic compounds	0.9993895292282104	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Aldehydes; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	46
11_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_10	C9H7NO	[M - H]-	C9H7NO	Alkaloids	0.8298091292381287	Anthranilic acid alkaloids	0.6983190774917603		0.5866319537162781	8-hydroxyquinolines	0.6664767265319824			8-hydroxyquinolines	0.6664767265319824	Quinolines and derivatives	0.7657358646392822	Organoheterocyclic compounds	0.995336115	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Phenols; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	47
12_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_11	C9H7NO	[M - H]-	C9H7NO	Alkaloids	0.8405388593673706	Anthranilic acid alkaloids	0.6495682597160339		0.5869513750076294	8-hydroxyquinolines	0.5523830056190491			8-hydroxyquinolines	0.5523830056190491	Quinolines and derivatives	0.8367798924446106	Organoheterocyclic compounds	0.99951756	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Quinolines and derivatives; Benzenoids; Organic oxides; 8-hydroxyquinolines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	55
15_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_14	C10H18O	[M - H]-	C10H18O	Terpenoids	0.8034495115280151	Monoterpenoids	0.8145368695259094		0.7777722477912903	Acyclic monoterpenoids	0.9412819743156433	Acyclic monoterpenoids	0.9412819743156433	Monoterpenoids	0.8545339703559875	Prenol lipids	0.9324080944061279	Lipids and lipid-like molecules	0.8962463140487671	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Acyclic monoterpenoids; Monoterpenoids; Monocyclic monoterpenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	57
16_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_15	C8H11O3	[M - H]-	C8H11O3	Shikimates and Phenylpropanoids	0.6457704305648804	Phenylpropanoids (C6-C3)	0.6647318601608276		0.6756095290184021	Methoxyphenols	0.8422438502311707			Methoxyphenols	0.8422438502311707	Phenols	0.8921443223953247	Benzenoids	0.9980195760726929	Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	61
17_Mat_2024_01_11_16_29_44_AlignmentResult_2023_09_16	C9H16O2	[M - H]-	C9H16O2	Fatty acids	0.720951259	Fatty Acids and Conjugates	0.6790105700492859		0.7485570311546326	Medium-chain fatty acids	0.5367127060890198	Medium-chain fatty acids	0.5367127060890198	Fatty acids and conjugates	0.8464160561561584	Fatty Acyls	0.8592597842216492	Lipids and lipid-like molecules	0.8309528827667236	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Branched fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	70
